id,sales_note,label
73,Need emergency stock replenishment by Friday.,Urgent Need
74,They are requesting a repeat of the previous order.,Repeat Order
75,First order placed for updated product variant.,New Product Demand
76,First order placed for updated product variant.,New Product Demand
77,demo units requested to evaluate updated models ASAP,New Product Demand
78,Wants special coating on the exterior.,Custom Spec
79,Trial order to test new technology batch.,New Product Demand
80,Demo units requested to evaluate updated models,New Product Demand
81,"running low on supplies again, please arrange dispatch",Stocking Issue
82,Placing a repeat request for item series 100X.,Repeat Order
83,Need300 more of the units ordered last month.,Repeat Order
84,Need 300 more of the units ordered last month.,Repeat Order
85,Need300 more of the units ordered last month.,Repeat Order
86,"Out of stock reported, needs restocking.",Stocking Issue
87,Theyare requesting a repeat of the previous order.,Repeat Order
88,clientneeds same order as last month for product 450X,Repeat Order
89,Trial order to test new technology batch.,New Product Demand
90,Rushrequest for product A45 due to customer escalation,Urgent Need
91,"Out of stock reported, needs restocking.",Stocking Issue
92,Trial order to test new technology batch.,New Product Demand
93,"running low on supplies again, please arrange dispatch",Stocking Issue
94,Needurgent delivery due to market launch next week.,Urgent Need
95,"Outof stock reported, needs restocking.",Stocking Issue
96,demo units requested to evaluate updated models,New Product Demand
97,"Delivery needed immediately, client facing outage.",Urgent Need
98,Interest shown in 2025x prototype by client,New Product Demand
99,Trial order to test new technology batch.,New Product Demand
100,Request for custom color matching on containers.,Custom Spec
101,Needurgent delivery due to market launch next week.,Urgent Need
102,Client exploring samples of 2024 line.,New Product Demand
103,"Inventory running low, client requests immediate resupply.",Stocking Issue
104,Needurgent delivery due to market launch next week.,Urgent Need
105,Placing a repeat request for item series 100X.,Repeat Order
106,"Warehouse backorder increasing, please resupply.",Stocking Issue
107,Wantsspecial coating on the exterior.,Custom Spec
108,"Backorders causing delays, need resupply ASAP.",Stocking Issue
109,custom size requested for container 560Z special handling needed,Custom Spec
110,Client exploring samples of 2024 line.,New Product Demand
111,Request for non-standard dimension for container. ASAP,Custom Spec
112,Client wants another batch of 1000 units like last time.,Repeat Order
113,Need emergency stock replenishment by Friday.,Urgent Need
114,Need emergency stock replenishment by Friday.,Urgent Need
115,Exploring samples for a new product line.,New Product Demand
116,criticalshortage reported need shipment by next week,Urgent Need
117,custom size requested for container 560Z special handling needed,Custom Spec
118,needs reinforced handles on boxes for safety reason,Custom Spec
119,Repeatpurchase request for Model 500Y,Repeat Order
120,"running low on supplies again, please arrange dispatch",Stocking Issue
121,demo units requested to evaluate updated models,New Product Demand
122,custom size requested for container 560Z special handling needed,Custom Spec
123,critical shortage reported need shipment by next week,Urgent Need
124,"Inventory running low, client requests immediate resupply.",Stocking Issue
125,Rush request for product A45 due to customer escalation,Urgent Need
126,Client exploring samples of 2024 line.,New Product Demand
127,First order placed for updated product variant.,New Product Demand
128,Customized dimension required for part 780Y.,Custom Spec
129,Request for non-standard dimension for container.,Custom Spec
130,"Backorders causing delays, need resupply ASAP.",Stocking Issue
131,Needemergency stock replenishment by Friday.,Urgent Need
132,Exploring samples for a new product line.,New Product Demand
133,Request for custom color matching on containers.,Custom Spec
134,critical shortage reported need shipment by next week,Urgent Need
135,demo units requested to evaluate updated models,New Product Demand
136,"running low on supplies again, please arrange dispatch",Stocking Issue
137,Stockout reported for Model X1.,Stocking Issue
138,Client wants another batch of 1000 units like last time.,Repeat Order
139,Specificationchange: needs reinforced packaging.,Custom Spec
140,"Another batch required urgently, same spec as previous",Repeat Order
141,Repeat purchase request for Model 500Y,Repeat Order
142,interest shown in 2025X prototype by client,New Product Demand
143,"runninglow on supplies again, please arrange dispatch",Stocking Issue
144,needs reinforced handles on boxes for safety reason,Custom Spec
145,Client wants another batch of 1000 units like last time.,Repeat Order
146,"Delivery needed immediately, client facing outage.",Urgent Need
147,Specification change: needs reinforced packaging.,Custom Spec
148,Request for custom color matching on containers.,Custom Spec
149,Trial order to test new technology batch.,New Product Demand
150,needs reinforced handles on boxes for safety reason,Custom Spec
151,Specification change: needs reinforced packaging.,Custom Spec
152,First order placed for updated product variant.,New Product Demand
153,Request to modify packaging dimensions before shipment,Custom Spec
154,Criticalshortage reported need shipment by next week,Urgent Need
155,critical shortage reported need shipment by next week,Urgent Need
156,First order placed for updated product variant.,New Product Demand
157,Request for non-standard dimension for container.,Custom Spec
158,"Requesting rush shipping, shortage reported. ASAP",Urgent Need
159,Requestfor non-standard dimension for container.,Custom Spec
160,First order placed for updated product variant.,New Product Demand
161,Placing a repeat request for item series 100X.,Repeat Order
162,"Warehouse backorder increasing, please resupply. ASAP",Stocking Issue
163,First order placed for updated product variant.,New Product Demand
164,demo units requested to evaluate updated models,New Product Demand
165,interest shown in 2025X prototype by client,New Product Demand
166,trial samples needed for our new eco friendly line,New Product Demand
167,Need 300 more of the units ordered last month.,Repeat Order
168,Specification change: needs reinforced packaging.,Custom Spec
169,They are requesting a repeat of the previous order. ASAP,Repeat Order
170,needsreinforced handles on boxes for safety reason,Custom Spec
171,Customized dimension required for part 780Y.,Custom Spec
172,client needs same order as last month for product 450X,Repeat Order
173,First order placed for updated product variant.,New Product Demand
174,Placing a repeat request for item series 100X.,Repeat Order
175,Request for non-standard dimension for container. ASAP,Custom Spec
176,Warehousealmost out of stock for model y23,Stocking Issue
177,Need 300 more of the units ordered last month.,Repeat Order
178,"Another batch required urgently, same spec as previous",Repeat Order
179,Wants special coating on the exterior.,Custom Spec
180,Exploring samples for a new product line.,New Product Demand
181,Specification change: needs reinforced packaging.,Custom Spec
182,Need emergency stock replenishment by Friday.,Urgent Need
183,They are requesting a repeat of the previous order.,Repeat Order
184,Client wants another batch of 1000 units like last time.,Repeat Order
185,Customized dimension required for part 780Y.,Custom Spec
186,Customized dimension required for part 780Y.,Custom Spec
187,They are requesting a repeat of the previous order.,Repeat Order
188,"Running low on supplies again, please arrange dispatch",Stocking Issue
189,"Out of stock reported, needs restocking.",Stocking Issue
190,Rush request for product A45 due to customer escalation,Urgent Need
191,inventory outage pls expedite shipping if possible,Urgent Need
192,First order placed for updated product variant.,New Product Demand
193,Customized dimension required for part 780y.,Custom Spec
194,Customizeddimension required for part 780Y.,Custom Spec
195,trialsamples needed for our new eco friendly line,New Product Demand
196,inventory outage pls expedite shipping if possible,Urgent Need
197,Placing a repeat request for item series 100X.,Repeat Order
198,"Outof stock reported, needs restocking.",Stocking Issue
199,"Backorders causing delays, need resupply ASAP.",Stocking Issue
200,Need 300 more of the units ordered last month.,Repeat Order
201,client needs same order as last month for product 450X,Repeat Order
202,Request for non-standard dimension for container.,Custom Spec
203,Exploringsamples for a new product line.,New Product Demand
204,First order placed for updated product variant.,New Product Demand
205,Placing a repeat request for item series 100X.,Repeat Order
206,Need urgent delivery due to market launch next week.,Urgent Need
207,inventory outage pls expedite shipping if possible,Urgent Need
208,Trial order to test new technology batch.,New Product Demand
209,Repeat purchase request for Model 500Y,Repeat Order
210,custom size requested for container 560Z special handling needed,Custom Spec
211,"running low on supplies again, please arrange dispatch",Stocking Issue
212,They are requesting a repeat of the previous order.,Repeat Order
213,"Anotherbatch required urgently, same spec as previous",Repeat Order
214,needs reinforced handles on boxes for safety reason,Custom Spec
215,Need 300 more of the units ordered last month.,Repeat Order
216,Request to modify packaging dimensions before shipment,Custom Spec
217,Client exploring samples of 2024 line.,New Product Demand
218,inventory outage pls expedite shipping if possible,Urgent Need
219,"Requesting rush shipping, shortage reported.",Urgent Need
220,Exploring samples for a new product line.,New Product Demand
221,criticalshortage reported need shipment by next week,Urgent Need
222,Rush request for product A45 due to customer escalation,Urgent Need
223,client needs same order as last month for product 450X,Repeat Order
224,needs reinforced handles on boxes for safety reason,Custom Spec
225,Trial order to test new technology batch.,New Product Demand
226,"Out of stock reported, needs restocking.",Stocking Issue
227,Need emergency stock replenishment by Friday.,Urgent Need
228,Exploring samples for a new product line.,New Product Demand
229,Client exploring samples of 2024 line.,New Product Demand
230,"Deliveryneeded immediately, client facing outage.",Urgent Need
231,Rushrequest for product A45 due to customer escalation,Urgent Need
232,Trial order to test new technology batch.,New Product Demand
233,They are requesting a repeat of the previous order.,Repeat Order
234,warehouse almost out of stock for Model Y23,Stocking Issue
235,critical shortage reported need shipment by next week,Urgent Need
236,Placing a repeat request for item series 100X.,Repeat Order
237,Asked for customized sizing of the packaging.,Custom Spec
238,client needs same order as last month for product 450X,Repeat Order
239,Placing a repeat request for item series 100X.,Repeat Order
240,"Inventory running low, client requests immediate resupply.",Stocking Issue
241,"Out of stock reported, needs restocking.",Stocking Issue
242,Wantsspecial coating on the exterior.,Custom Spec
243,Client exploring samples of 2024 line.,New Product Demand
244,First order placed for updated product variant.,New Product Demand
245,"Requesting rush shipping, shortage reported.",Urgent Need
246,critical shortage reported need shipment by next week,Urgent Need
247,client needs same order as last month for product 450X ASAP,Repeat Order
248,"Requesting rush shipping, shortage reported.",Urgent Need
249,Stockout reported for Model X1.,Stocking Issue
250,demo units requested to evaluate updated models,New Product Demand
251,Firstorder placed for updated product variant.,New Product Demand
252,First order placed for updated product variant.,New Product Demand
253,Requestto modify packaging dimensions before shipment,Custom Spec
254,Request for custom color matching on containers.,Custom Spec
255,First order placed for updated product variant.,New Product Demand
256,Need300 more of the units ordered last month.,Repeat Order
257,Stockout reported for Model X1.,Stocking Issue
258,Exploring samples for a new product line.,New Product Demand
259,"Out of stock reported, needs restocking.",Stocking Issue
260,They are requesting a repeat of the previous order.,Repeat Order
261,backorders increasing need quick replenishment,Stocking Issue
262,Need 300 more of the units ordered last month.,Repeat Order
263,Trial order to test new technology batch.,New Product Demand
264,Repeatpurchase request for Model 500Y,Repeat Order
265,"Out of stock reported, needs restocking.",Stocking Issue
266,Needurgent delivery due to market launch next week.,Urgent Need
267,inventory outage pls expedite shipping if possible,Urgent Need
268,Need urgent delivery due to market launch next week.,Urgent Need
269,custom size requested for container 560Z special handling needed,Custom Spec
270,"Warehouse backorder increasing, please resupply.",Stocking Issue
271,Need emergency stock replenishment by Friday.,Urgent Need
272,custom size requested for container 560Z special handling needed,Custom Spec
273,Asked for customized sizing of the packaging.,Custom Spec
274,Rush request for product a45 due to customer escalation,Urgent Need
275,Customized dimension required for part 780Y.,Custom Spec
276,"Requestingrush shipping, shortage reported.",Urgent Need
277,"Out of stock reported, needs restocking.",Stocking Issue
278,Client exploring samples of 2024 line. ASAP,New Product Demand
279,"Requesting rush shipping, shortage reported.",Urgent Need
280,Request for non-standard dimension for container.,Custom Spec
281,interest shown in 2025X prototype by client,New Product Demand
282,backorders increasing need quick replenishment,Stocking Issue
283,Exploring samples for a new product line.,New Product Demand
284,Request for non-standard dimension for container.,Custom Spec
285,"Delivery needed immediately, client facing outage.",Urgent Need
286,Stockout reported for Model X1.,Stocking Issue
287,needs reinforced handles on boxes for safety reason,Custom Spec
288,Specification change: needs reinforced packaging.,Custom Spec
289,"Delivery needed immediately, client facing outage.",Urgent Need
290,Placing a repeat request for item series 100X.,Repeat Order
291,Request to modify packaging dimensions before shipment,Custom Spec
292,critical shortage reported need shipment by next week,Urgent Need
293,customsize requested for container 560Z special handling needed,Custom Spec
294,Needemergency stock replenishment by friday.,Urgent Need
295,Client wants another batch of 1000 units like last time.,Repeat Order
296,Request to modify packaging dimensions before shipment,Custom Spec
297,Needemergency stock replenishment by friday.,Urgent Need
298,interest shown in 2025X prototype by client,New Product Demand
299,needs reinforced handles on boxes for safety reason,Custom Spec
300,"Requesting rush shipping, shortage reported. ASAP",Urgent Need
301,Client wants another batch of 1000 units like last time.,Repeat Order
302,interest shown in 2025X prototype by client,New Product Demand
303,Specification change: needs reinforced packaging.,Custom Spec
304,"running low on supplies again, please arrange dispatch",Stocking Issue
305,"Another batch required urgently, same spec as previous",Repeat Order
306,Specification change: needs reinforced packaging.,Custom Spec
307,Need 300 more of the units ordered last month.,Repeat Order
308,needsreinforced handles on boxes for safety reason,Custom Spec
309,"running low on supplies again, please arrange dispatch",Stocking Issue
310,critical shortage reported need shipment by next week ASAP,Urgent Need
311,"Delivery needed immediately, client facing outage.",Urgent Need
312,interest shown in 2025X prototype by client,New Product Demand
313,Specification change: needs reinforced packaging.,Custom Spec
314,They are requesting a repeat of the previous order.,Repeat Order
315,Request for non-standard dimension for container.,Custom Spec
316,"Warehouse backorder increasing, please resupply.",Stocking Issue
317,"running low on supplies again, please arrange dispatch",Stocking Issue
318,client needs same order as last month for product 450X,Repeat Order
319,Client needs same order as last month for product 450x ASAP,Repeat Order
320,demo units requested to evaluate updated models,New Product Demand
321,"Another batch required urgently, same spec as previous",Repeat Order
322,Request for custom color matching on containers.,Custom Spec
323,Need urgent delivery due to market launch next week.,Urgent Need
324,Rush request for product A45 due to customer escalation,Urgent Need
325,Repeatpurchase request for Model 500Y,Repeat Order
326,Need emergency stock replenishment by Friday.,Urgent Need
327,Needurgent delivery due to market launch next week.,Urgent Need
328,inventory outage pls expedite shipping if possible,Urgent Need
329,Need 300 more of the units ordered last month.,Repeat Order
330,Client needs same order as last month for product 450x ASAP,Repeat Order
331,Need 300 more of the units ordered last month. ASAP,Repeat Order
332,critical shortage reported need shipment by next week,Urgent Need
333,Wants special coating on the exterior.,Custom Spec
334,Trial order to test new technology batch.,New Product Demand
335,Need 300 more of the units ordered last month. ASAP,Repeat Order
336,Trial order to test new technology batch.,New Product Demand
337,interest shown in 2025X prototype by client,New Product Demand
338,"Another batch required urgently, same spec as previous",Repeat Order
339,warehouse almost out of stock for Model Y23,Stocking Issue
340,First order placed for updated product variant.,New Product Demand
341,Asked for customized sizing of the packaging.,Custom Spec
342,inventory outage pls expedite shipping if possible,Urgent Need
343,inventory outage pls expedite shipping if possible,Urgent Need
344,custom size requested for container 560Z special handling needed,Custom Spec
345,Customized dimension required for part 780Y.,Custom Spec
346,"Delivery needed immediately, client facing outage.",Urgent Need
347,Need urgent delivery due to market launch next week.,Urgent Need
348,inventoryoutage pls expedite shipping if possible,Urgent Need
349,warehouse almost out of stock for Model Y23,Stocking Issue
350,Trial order to test new technology batch.,New Product Demand
351,"Backorders causing delays, need resupply ASAP.",Stocking Issue
352,needsreinforced handles on boxes for safety reason,Custom Spec
353,Rush request for product A45 due to customer escalation,Urgent Need
354,warehousealmost out of stock for Model Y23,Stocking Issue
355,Rushrequest for product A45 due to customer escalation,Urgent Need
356,Asked for customized sizing of the packaging.,Custom Spec
357,They are requesting a repeat of the previous order.,Repeat Order
358,Client wants another batch of 1000 units like last time.,Repeat Order
359,custom size requested for container 560Z special handling needed,Custom Spec
360,Placing a repeat request for item series 100X.,Repeat Order
361,"running low on supplies again, please arrange dispatch",Stocking Issue
362,backorders increasing need quick replenishment,Stocking Issue
363,Stockoutreported for Model X1.,Stocking Issue
364,Wantsspecial coating on the exterior.,Custom Spec
365,Trial samples needed for our new eco friendly line,New Product Demand
366,Client wants another batch of 1000 units like last time.,Repeat Order
367,Need urgent delivery due to market launch next week.,Urgent Need
368,warehouse almost out of stock for Model Y23,Stocking Issue
369,backorders increasing need quick replenishment,Stocking Issue
370,Customized dimension required for part 780Y.,Custom Spec
371,warehouse almost out of stock for Model Y23,Stocking Issue
372,needs reinforced handles on boxes for safety reason,Custom Spec
373,"Out of stock reported, needs restocking.",Stocking Issue
374,Client exploring samples of 2024 line.,New Product Demand
375,Stockout reported for Model X1.,Stocking Issue
376,Need emergency stock replenishment by Friday.,Urgent Need
377,Customized dimension required for part 780Y.,Custom Spec
378,Need urgent delivery due to market launch next week.,Urgent Need
379,Placing a repeat request for item series 100X.,Repeat Order
380,Wants special coating on the exterior.,Custom Spec
381,"Inventory running low, client requests immediate resupply.",Stocking Issue
382,"Backorders causing delays, need resupply ASAP.",Stocking Issue
383,warehouse almost out of stock for Model Y23,Stocking Issue
384,"Another batch required urgently, same spec as previous",Repeat Order
385,"Backorders causing delays, need resupply ASAP.",Stocking Issue
386,Request for custom color matching on containers.,Custom Spec
387,Customized dimension required for part 780y.,Custom Spec
388,They are requesting a repeat of the previous order.,Repeat Order
389,"Out of stock reported, needs restocking.",Stocking Issue
390,Theyare requesting a repeat of the previous order.,Repeat Order
391,Rush request for product A45 due to customer escalation,Urgent Need
392,"Warehouse backorder increasing, please resupply.",Stocking Issue
393,First order placed for updated product variant. ASAP,New Product Demand
394,Repeat purchase request for Model 500Y,Repeat Order
395,Trial order to test new technology batch.,New Product Demand
396,Rush request for product A45 due to customer escalation,Urgent Need
397,"Out of stock reported, needs restocking.",Stocking Issue
398,Need urgent delivery due to market launch next week.,Urgent Need
399,"Out of stock reported, needs restocking.",Stocking Issue
400,"Backorders causing delays, need resupply ASAP.",Stocking Issue
401,First order placed for updated product variant.,New Product Demand
402,Wants special coating on the exterior.,Custom Spec
403,Trial order to test new technology batch.,New Product Demand
404,Request for custom color matching on containers.,Custom Spec
405,client needs same order as last month for product 450X,Repeat Order
406,demo units requested to evaluate updated models ASAP,New Product Demand
407,Needurgent delivery due to market launch next week.,Urgent Need
408,Placing a repeat request for item series 100X.,Repeat Order
409,"Inventory running low, client requests immediate resupply.",Stocking Issue
410,Placing a repeat request for item series 100X.,Repeat Order
411,Stockout reported for model x1.,Stocking Issue
412,Firstorder placed for updated product variant.,New Product Demand
413,"running low on supplies again, please arrange dispatch",Stocking Issue
414,Clientexploring samples of 2024 line.,New Product Demand
415,trial samples needed for our new eco friendly line,New Product Demand
416,inventory outage pls expedite shipping if possible,Urgent Need
417,client needs same order as last month for product 450X,Repeat Order
418,"Warehouse backorder increasing, please resupply.",Stocking Issue
419,Rush request for product A45 due to customer escalation,Urgent Need
420,"Backorders causing delays, need resupply ASAP.",Stocking Issue
421,Rush request for product A45 due to customer escalation,Urgent Need
422,"Inventory running low, client requests immediate resupply.",Stocking Issue
423,Exploring samples for a new product line.,New Product Demand
424,Specification change: needs reinforced packaging.,Custom Spec
425,inventory outage pls expedite shipping if possible,Urgent Need
426,Client wants another batch of 1000 units like last time.,Repeat Order
427,Placinga repeat request for item series 100X.,Repeat Order
428,Trial order to test new technology batch. ASAP,New Product Demand
429,needs reinforced handles on boxes for safety reason,Custom Spec
430,"Out of stock reported, needs restocking.",Stocking Issue
431,Client wants another batch of 1000 units like last time.,Repeat Order
432,They are requesting a repeat of the previous order.,Repeat Order
433,Need urgent delivery due to market launch next week.,Urgent Need
434,trial samples needed for our new eco friendly line,New Product Demand
435,"Another batch required urgently, same spec as previous ASAP",Repeat Order
436,needsreinforced handles on boxes for safety reason,Custom Spec
437,"Another batch required urgently, same spec as previous",Repeat Order
438,demo units requested to evaluate updated models,New Product Demand
439,needsreinforced handles on boxes for safety reason,Custom Spec
440,"Requesting rush shipping, shortage reported.",Urgent Need
441,"Warehouse backorder increasing, please resupply.",Stocking Issue
442,client needs same order as last month for product 450X,Repeat Order
443,"Inventory running low, client requests immediate resupply.",Stocking Issue
444,Need300 more of the units ordered last month.,Repeat Order
445,Client wants another batch of 1000 units like last time.,Repeat Order
446,Need emergency stock replenishment by Friday.,Urgent Need
447,client needs same order as last month for product 450X,Repeat Order
448,Repeat purchase request for model 500y,Repeat Order
449,Stockout reported for Model X1.,Stocking Issue
450,Inventoryoutage pls expedite shipping if possible,Urgent Need
451,Client exploring samples of 2024 line.,New Product Demand
452,Specification change: needs reinforced packaging.,Custom Spec
453,"Requestingrush shipping, shortage reported.",Urgent Need
454,"Requesting rush shipping, shortage reported.",Urgent Need
455,Client wants another batch of 1000 units like last time.,Repeat Order
456,backorders increasing need quick replenishment,Stocking Issue
457,"running low on supplies again, please arrange dispatch",Stocking Issue
458,Exploringsamples for a new product line.,New Product Demand
459,Wants special coating on the exterior.,Custom Spec
460,customsize requested for container 560Z special handling needed,Custom Spec
461,client needs same order as last month for product 450X,Repeat Order
462,client needs same order as last month for product 450X,Repeat Order
463,Requestto modify packaging dimensions before shipment,Custom Spec
464,Exploring samples for a new product line. ASAP,New Product Demand
465,criticalshortage reported need shipment by next week,Urgent Need
466,demounits requested to evaluate updated models,New Product Demand
467,Request for non-standard dimension for container.,Custom Spec
468,Client wants another batch of 1000 units like last time.,Repeat Order
469,"running low on supplies again, please arrange dispatch",Stocking Issue
470,client needs same order as last month for product 450X,Repeat Order
471,critical shortage reported need shipment by next week,Urgent Need
472,warehouse almost out of stock for Model Y23,Stocking Issue
473,"Out of stock reported, needs restocking.",Stocking Issue
474,"Backorders causing delays, need resupply ASAP.",Stocking Issue
475,warehouse almost out of stock for Model Y23,Stocking Issue
476,"Another batch required urgently, same spec as previous",Repeat Order
477,"Backorders causing delays, need resupply ASAP.",Stocking Issue
478,client needs same order as last month for product 450X,Repeat Order
479,Trial order to test new technology batch. ASAP,New Product Demand
480,Stockout reported for Model X1.,Stocking Issue
481,warehouse almost out of stock for Model Y23,Stocking Issue
482,Client exploring samples of 2024 line.,New Product Demand
483,Request to modify packaging dimensions before shipment,Custom Spec
484,"Backorders causing delays, need resupply ASAP.",Stocking Issue
485,"running low on supplies again, please arrange dispatch",Stocking Issue
486,inventory outage pls expedite shipping if possible,Urgent Need
487,Repeatpurchase request for Model 500Y,Repeat Order
488,Request to modify packaging dimensions before shipment,Custom Spec
489,Repeatpurchase request for model 500y,Repeat Order
490,Repeat purchase request for Model 500Y,Repeat Order
491,"Delivery needed immediately, client facing outage.",Urgent Need
492,Client wants another batch of 1000 units like last time.,Repeat Order
493,"running low on supplies again, please arrange dispatch",Stocking Issue
494,"Warehouse backorder increasing, please resupply.",Stocking Issue
495,"Out of stock reported, needs restocking.",Stocking Issue
496,demo units requested to evaluate updated models,New Product Demand
497,interest shown in 2025X prototype by client ASAP,New Product Demand
498,"Delivery needed immediately, client facing outage.",Urgent Need
499,Exploring samples for a new product line.,New Product Demand
500,"Requesting rush shipping, shortage reported.",Urgent Need
501,First order placed for updated product variant.,New Product Demand
502,trial samples needed for our new eco friendly line,New Product Demand
503,Client wants another batch of 1000 units like last time.,Repeat Order
504,"Another batch required urgently, same spec as previous",Repeat Order
505,Need 300 more of the units ordered last month.,Repeat Order
506,Customized dimension required for part 780Y.,Custom Spec
507,First order placed for updated product variant.,New Product Demand
508,criticalshortage reported need shipment by next week,Urgent Need
509,interest shown in 2025X prototype by client,New Product Demand
510,Request to modify packaging dimensions before shipment,Custom Spec
511,Client wants another batch of 1000 units like last time.,Repeat Order
512,Placing a repeat request for item series 100X.,Repeat Order
513,Rush request for product A45 due to customer escalation,Urgent Need
514,"Delivery needed immediately, client facing outage. ASAP",Urgent Need
515,"running low on supplies again, please arrange dispatch",Stocking Issue
516,"Another batch required urgently, same spec as previous",Repeat Order
517,Requestfor custom color matching on containers.,Custom Spec
518,Client wants another batch of 1000 units like last time.,Repeat Order
519,Client wants another batch of 1000 units like last time.,Repeat Order
520,Request to modify packaging dimensions before shipment,Custom Spec
521,Need urgent delivery due to market launch next week.,Urgent Need
522,"Backorders causing delays, need resupply ASAP.",Stocking Issue
523,"Outof stock reported, needs restocking.",Stocking Issue
524,Rush request for product A45 due to customer escalation,Urgent Need
525,needs reinforced handles on boxes for safety reason,Custom Spec
526,Need emergency stock replenishment by Friday.,Urgent Need
527,custom size requested for container 560Z special handling needed,Custom Spec
528,Rushrequest for product A45 due to customer escalation,Urgent Need
529,"Delivery needed immediately, client facing outage.",Urgent Need
530,demo units requested to evaluate updated models ASAP,New Product Demand
531,Trial order to test new technology batch.,New Product Demand
532,They are requesting a repeat of the previous order.,Repeat Order
533,Repeat purchase request for Model 500Y,Repeat Order
534,"running low on supplies again, please arrange dispatch",Stocking Issue
535,"Another batch required urgently, same spec as previous",Repeat Order
536,Specification change: needs reinforced packaging.,Custom Spec
537,"Warehouse backorder increasing, please resupply. ASAP",Stocking Issue
538,Need urgent delivery due to market launch next week.,Urgent Need
539,interestshown in 2025X prototype by client,New Product Demand
540,Specification change: needs reinforced packaging.,Custom Spec
541,Theyare requesting a repeat of the previous order.,Repeat Order
542,Custom size requested for container 560z special handling needed ASAP,Custom Spec
543,"Inventory running low, client requests immediate resupply.",Stocking Issue
544,critical shortage reported need shipment by next week,Urgent Need
545,"Another batch required urgently, same spec as previous",Repeat Order
546,Need emergency stock replenishment by Friday. ASAP,Urgent Need
547,Stockoutreported for Model X1. ASAP,Stocking Issue
548,"running low on supplies again, please arrange dispatch",Stocking Issue
549,trial samples needed for our new eco friendly line,New Product Demand
